Region,Neighborhood,Latitude,Longitude
North,Kavundampalayam,11.0452351,76.9472197
North,Chinnavedampatti,11.0629428,76.9843304
North,Press Colony,11.178903,76.9569137
North,Vadamadurai,11.084491,76.9390361
North,Kanuvai,11.0793411,76.9415814
North,KNG Pudur,11.0533111,76.9199558
North,NGGO Colony,11.0997759,76.9599443
North,Thudiyalur,11.0805532,76.9421498
North,Vellakinar,11.0797839,76.9474805
North,Bharathi Nagar,11.0471906,76.9890493
North,Sivanandhapuram,11.0610742,76.9991005
Central,Rathinapuri,11.0262931,76.9622382
Central,Tatabad,11.0194943,76.9572601
Central,Sivananda Colony,11.0225166,76.95724
Central,Town Hall,10.9967542,76.956623
Central,Gandhipuram,11.0182714,76.9677744
Central,Ramnagar,11.0018115,76.9628425
Central,Sukrawarpettai,11.0006493,76.9597276
Central,R.S Puram,11.0071376,76.9489287
Central,Saibaba Colony,11.024334,76.9447875
Central,Venkitapuram,11.0252509,76.9354218
Central,Ponnaiah Raja Puram,10.9994,76.9376
Central,Race Course,11.0049649,76.9858523
Central,Gopalapuram,10.6939724,76.8713738
Central,Puliakulam,11.004464,76.9919988
Central,Siddhapudur,11.0208062,76.9765127
Central,Avarampalayam,11.029412,76.9854653
Central,Papanaickenpalayam,11.0142,76.9804
South,Ukkadam,10.9895218,76.9561068
South,Sundakkamuthur,10.9596,76.9269
South,Selvapuram,11.172385,76.9213345
South,Podanur,10.9585609,76.988307
South,Kottaimedu,10.9918119,76.9623016
South,Karumbukkadai,10.9758,76.959
South,Sundarapuram,10.9521673,76.9758815
South,Kurichi,10.96615705,76.96360877
South,Eachanari,10.9239252,76.98245042
South,Chettipalayam,10.9138283,77.0374703
South,Vellalore,10.9771983,77.0057346
South,Kuniyamuthur,10.9641042,76.9562562
South,Sugunapuram,10.9350833,76.955768
South,Nanjundapuram,10.9781446,76.9978252
East,Ramanathapuram,10.9947773,76.99213
East,Ondipudur,11.0053032,77.0627627
East,Singanallur,11.0028585,77.0234948
East,Varadharajapuram,11.0115,77.0295
East,Peelamedu,11.0269577,76.9945813
East,Meena Estate,11.009,76.9967
East,Udayampalayam,11.010698,77.004737
East,Nehru Nagar,11.0018115,76.9628425
East,Vilankurichi,11.0576603,77.0046147
East,Ganapathy,11.0365596,76.9692573
East,Cheran ma Nagar,11.0520411,76.945335
East,Nallampalayam,11.0408804,76.9547229
East,Gandhimanagar,11.0393995,76.9989482
East,Chinniampalayam,11.0551262,77.0655148
East,Sowripalayam,11.0097377,77.0073151
East,G.V. Residency,11.0118,77.0147
East,Uppilipalayam,11.011709,77.0213881
West,Kovaipudur,10.9454149,76.9392603
West,Perur,10.976406,76.9141784
West,Vadavalli,11.0253387,76.9051251
West,Thondamuthur,11.0249029,76.9062826
West,Veerakeralam,11.0066,76.9118
